distance,id,runner_key,total_elevation_gain,sport_type,start_date_local,kudos_count,average_speed,created_at,name,moving_time,elapsed_time,type,start_date,timezone,athlete_count
16366.8,12574093415,5,569.0,TrailRun,2024-10-04T17:49:42Z,9,2.876,2025-02-04 14:55:14.618904+00:00,La notte ancora non fa per me 🥺,5690,5798,Run,2024-10-04T15:49:42Z,(GMT+01:00) Europe/Rome,1
12076.8,12566516877,5,174.0,Run,2024-10-03T18:29:11Z,7,2.987,2025-02-04 14:55:14.618904+00:00,Evening Run,4043,4068,Run,2024-10-03T16:29:11Z,(GMT+01:00) Europe/Rome,1
10097.3,12557885748,5,34.0,Run,2024-10-02T17:40:41Z,10,2.795,2025-02-04 14:55:14.618904+00:00,Afternoon Run,3613,3634,Run,2024-10-02T15:40:41Z,(GMT+01:00) Europe/Rome,1
16004.6,12546902488,5,807.0,TrailRun,2024-10-01T11:10:04Z,8,2.67,2025-02-04 14:55:14.618904+00:00,Lunch Trail Run,5994,6117,Run,2024-10-01T09:10:04Z,(GMT+01:00) Europe/Rome,1
9273.2,12530464531,5,48.0,Run,2024-09-29T09:29:21Z,8,2.845,2025-02-04 14:55:14.618904+00:00,Corri x Leo 9.2,3260,3321,Run,2024-09-29T07:29:21Z,(GMT+01:00) Europe/Rome,10
19738.6,12520958618,5,1120.0,TrailRun,2024-09-28T07:05:22Z,9,1.935,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,10202,10214,Run,2024-09-28T05:05:22Z,(GMT+01:00) Europe/Rome,3
12348.8,12506525911,5,651.0,TrailRun,2024-09-26T08:11:52Z,7,2.053,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,6016,6145,Run,2024-09-26T06:11:52Z,(GMT+01:00) Europe/Rome,3
12993.2,12498324175,5,441.0,Run,2024-09-25T07:59:52Z,7,2.758,2025-02-04 14:55:14.618904+00:00,Morning Run,4711,4801,Run,2024-09-25T05:59:52Z,(GMT+01:00) Europe/Rome,1
9569.0,12494339642,5,32.0,Run,2024-09-24T18:43:02Z,6,2.596,2025-02-04 14:55:14.618904+00:00,Evening Run,3686,4101,Run,2024-09-24T16:43:02Z,(GMT+01:00) Europe/Rome,2
10938.4,12481510972,5,612.0,TrailRun,2024-09-23T08:03:30Z,10,2.107,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,5192,5280,Run,2024-09-23T06:03:30Z,(GMT+01:00) Europe/Rome,1
5743.9,12472989877,5,16.0,Run,2024-09-22T09:48:07Z,6,2.531,2025-02-04 14:55:14.618904+00:00,Morning Run,2269,2275,Run,2024-09-22T07:48:07Z,(GMT+01:00) Europe/Rome,1
19220.0,12465665231,5,860.6,TrailRun,2024-09-21T10:01:28Z,10,2.901,2025-02-04 14:55:14.618904+00:00,Bettona Crossing 2024 ( 14esimo assoluto ),6557,6626,Run,2024-09-21T08:01:28Z,(GMT+01:00) Europe/Rome,4
13187.0,12440460199,5,568.0,Hike,2024-09-18T07:38:42Z,9,0.887,2025-02-04 14:55:14.618904+00:00,Morning Hike,14859,17240,Hike,2024-09-18T05:38:42Z,(GMT+01:00) Europe/Rome,2
22244.6,12433372769,5,766.0,Hike,2024-09-17T07:17:01Z,9,0.919,2025-02-04 14:55:14.618904+00:00,Morning Hike,24214,34471,Hike,2024-09-17T05:17:01Z,(GMT+01:00) Europe/Rome,2
17474.3,12424758790,5,406.0,Hike,2024-09-16T07:00:02Z,8,0.993,2025-02-04 14:55:14.618904+00:00,Morning Hike,17596,33364,Hike,2024-09-16T05:00:02Z,(GMT+01:00) Europe/Rome,2
25820.2,12419083511,5,717.0,Hike,2024-09-15T07:28:24Z,5,1.019,2025-02-04 14:55:14.618904+00:00,Morning Hike,25332,44901,Hike,2024-09-15T05:28:24Z,(GMT+01:00) Europe/Rome,2
15065.4,12400887541,5,523.0,TrailRun,2024-09-13T16:56:51Z,9,2.967,2025-02-04 14:55:14.618904+00:00,Afternoon Trail Run,5077,5249,Run,2024-09-13T14:56:51Z,(GMT+01:00) Europe/Rome,1
6939.2,12390084140,5,416.0,TrailRun,2024-09-12T10:26:10Z,6,2.074,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,3346,3384,Run,2024-09-12T08:26:10Z,(GMT+01:00) Europe/Rome,1
22616.2,12382129536,5,1498.0,TrailRun,2024-09-11T09:01:13Z,5,1.958,2025-02-04 14:55:14.618904+00:00,Morning Trail Run,11551,12352,Run,2024-09-11T07:01:13Z,(GMT+01:00) Europe/Rome,1
